,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
38,기타비유동부채(주석16),26299830745.0,11971364823.0,16971072565.0,14881024504.0,11954439423.0,7999398961.0,7750182265.0,3030435416.0,3195007638.0,3438271998.0,3136791998.0,3180776928.0,3421049925.0,4471539159.0,3825828610.0,4484248149.0,4527484983.0,6397830931.0,5414155263.0,4218254518.0,3932393800.0,3565770828.0,3617831782.0,4799504256.0,5774596708.0,1830874989.0,5089496030.0,5702118495.0,6043216383.0,7432864169.0,4163881523.0,3681666151.0,407299149.0,,,,,,,,
39,기타충당부채(주석17),1618000.0,2563864835.0,2371860613.0,2345771868.0,2544703353.0,2407744553.0,1618000.0,1618000.0,1618000.0,597370836.0,,2033000.0,2033000.0,2389000.0,5315000.0,5315000.0,489757762.0,489787762.0,489887762.0,489887762.0,490273762.0,490273762.0,5831000.0,37806729.0,6044000.0,6341000.0,8259000.0,9203000.0,8256000.0,7653000.0,,34442301773.0,,,,,,,,,
40,이연법인세부채(주석31),20016723134.0,18176508436.0,44540832413.0,67743104740.0,95867979892.0,63242810870.0,75563402875.0,120967456615.0,128619547368.0,172790671304.0,96045249181.0,109095290986.0,2414542671.0,815909070.0,,,,,,,,,,,1706176.0,83496630.0,132622906.0,67365249.0,75340892.0,1486917173.0,,,1391951021.0,1576688864.0,,,,471203380.0,1734390729.0,,
41,부채총계,963996116585.0,834211969584.0,724745589198.0,727532699269.0,902663857966.0,562307308920.0,541873517600.0,628584998312.0,939803448478.0,797327860834.0,701078230624.0,542784880660.0,534487242673.0,465295073708.0,479709517001.0,492819210244.0,597410666024.0,430262047043.0,422643055969.0,397285590447.0,443538817147.0,323231513838.0,299649734853.0,313675804172.0,343386631031.0,320758501362.0,317255685786.0,321056989216.0,296184179526.0,296262422809.0,244968179751.0,262283799453.0,221346341081.0,203330868034.0,94133574494.0,96811350430.0,85220827689.0,61433635427.0,48823441523.0,33203846635.0,57328328063.0
42,자본,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,I.지배기업소유주지분,2593551298066.0,2499168181415.0,2462692987233.0,2436084299176.0,2376113741586.0,2367717184303.0,2482215726957.0,2664293386993.0,2532326578276.0,2721242691055.0,2447746388114.0,2188696372194.0,1814119186730.0,1885562660878.0,1751723723178.0,1709092019394.0,1622329286008.0,1769519129008.0,1736716152146.0,1704319628271.0,1647380481011.0,1360576931153.0,1297544532227.0,1219809186987.0,1171057990069.0,1141238718854.0,1097491838943.0,1072455116444.0,1038340121089.0,1000584982271.0,855591613232.0,748147185297.0,608949909141.0,,,,,,,,
44,"자본금(주석1,23)",10977011000.0,10977011000.0,10977011000.0,10973261000.0,10969511000.0,10969511000.0,10969511000.0,10969511000.0,10969511000.0,10969511000.0,10969511000.0,10969511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10964511000.0,10957354000.0,10957354000.0,10957354000.0,10954479000.0,10949416000.0,10925198500.0,10903182500.0,10854990000.0,10854990000.0,10237224000.0,10237074000.0,10193817000.0,10176555000.0,10032021500.0,9410527500.0,2396250000.0
45,"기타불입자본(주석23,24)",-2245068568.0,-2245068568.0,-2246667426.0,4828356349.0,4455604354.0,4454005496.0,168363869788.0,279070696950.0,279064097722.0,279057498494.0,279043397412.0,280034223883.0,278625122801.0,278611021719.0,278576866060.0,278542710400.0,278508554741.0,431516059146.0,443908221852.0,443908221852.0,444819146515.0,123297170636.0,122860502978.0,120915649664.0,120579026022.0,119617898341.0,119277575538.0,118937252735.0,118530353316.0,117909756792.0,115258107306.0,108821330683.0,103505735232.0,,,,,,,,
46,기타자본구성요소(주석24),113938205014.0,108350013161.0,115997339981.0,195552283915.0,247385454379.0,188477340679.0,204923122469.0,368218954509.0,372894300919.0,525307306487.0,374056100381.0,389713790198.0,43812063729.0,52160451836.0,-9472386429.0,-3464431621.0,-3248749303.0,-3312085480.0,-3953128460.0,-6387207486.0,-8338578600.0,-7941935263.0,-8135057831.0,-8142908474.0,-5029574840.0,-6121644297.0,-3103181899.0,-56481820.0,698363838.0,991353811.0,3990647683.0,5742835593.0,3141060000.0,,,,,,,,
47,이익잉여금(주석25),2470881150620.0,2382086225822.0,2337965303678.0,2224730397912.0,2113303171853.0,2163816327128.0,2097959223700.0,2006034224534.0,1869398668635.0,1905908375074.0,1783677379321.0,1507978847113.0,1480717489200.0,1543826676323.0,1471654732547.0,1423049229615.0,1336104969570.0,1330350644342.0,1285796547754.0,1255834102905.0,1199935402096.0,1234257184780.0,1171854576080.0,1096071934797.0,1044544027887.0,1016785110810.0,970360091304.0,942616991529.0,908156924935.0,870734455668.0,725417659743.0,622679836521.0,491448123909.0,,,,,,,,
